   Step   Time    Walltime(s) Profile
      0   0.0000     0.0033   ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
  25000   5.0000     1.7389   ▁▁▁▁▁▁▁▁▁▁▁▁▁▂▂▃▄▄▅▅▆▇▆█▇▆▇▆▄▄▅▃▃▃▂▂▁▁▁▁▁▁▁▁▁▁▁▁
  50000  10.0000     3.3127   ▁▁▁▁▁▁▂▂▂▂▃▃▂▄▃▅▅▅▅█▅▆▆▇▆▇▇▆▇▆▆▄▅▄▄▃▃▂▂▂▂▂▁▁▂▁▁▁
  75000  15.0000     4.8867   ▁▂▂▃▁▃▂▂▃▃▃▄▃▄▅▆▅▆▆▅▆▆█▆▇▇▆▆▅▅▆▅▆▄▅▅▃▄▂▃▂▃▂▂▂▂▂▁
 100000  20.0000     6.4607   ▂▂▂▃▂▃▃▃▃▃▄▅▄▄▄▄▄▄▅▅▆█▇▇▅▆▆▇▄▄▄▆▅▄▄▅▃▄▄▃▃▂▃▂▃▂▃▂
 125000  25.0000     8.0342   ▃▂▄▃▄▃▄▄▄▄▆▅▅▅▅▆▆▆▅▅▅▇▆▆▆▆▅█▆▇▅▅▆▆▅▄▅▄▅▄▃▄▄▄▃▃▃▃
 150000  30.0000     9.6083   ▃▄▄▄▅▄▄▄▃▆▅▅▅▃▅▅▆▆▆▅▆▅▅▆▆▆▅▆▄▇█▅▅▅▅▅▆▅▃▄▄▃▄▄▃▄▃▄
 175000  35.0000    11.1823   ▅▅▄▅▅▄▅▅▇▅▆▅▅▅▆▆▇▇▆▇▆▇▇▇▆█▇▆▅▇▇▆▆▇▆▇▅▅▅▅▅▅▅▅▅▃▅▅
 200000  40.0000    12.7562   ▅▃▄▅▅▃▅▄▅▄▄▆▅▅▆▄▅▆▅▇▅▅▇▅▆▅█▆▆▇▆▅▅▅▅▆▅▅▆▄▄▅▅▅▄▅▅▅
 225000  45.0000    14.3300   ▄▅▅▅▅▅▄▅▅▅▆▅▆▆▅▆▅▆▅▆█▇▇▆▇▇▇▆▆▆▆▆▇▅▅▆▆▄▅▆▆▆▆▆▅▅▄▆
 250000  50.0000    15.9039   ▅▅▄▅▅▅▄▄▄▆▆▄▄▄▅▄▆▄▆▅▅█▆▆▆▆▅▆▅▆▅▆▅▅▅▅▅▄▄▅▄▄▅▆▄▅▅▄
 275000  55.0000    17.4777   ▄▅▅▆▅▅▆▆▆▆▅▅▆▆▇▇▆▆▅▅█▅▅▇▇▆▆▅▇▆▆▇▇▆▅▆▆▅▇▅▇▅▄▅▆▆▅▆
 300000  60.0000    19.0514   ▅▆▅▄▄▅▆█▅▅▆▅▅▅▅▇▆▅▆▆▆▆▆▅▆▇▇▅▆▆▅▅▇▅▆▆▅▆▅▆▄▆▅▆▄▄▅▅
